,image,Company,Model,RAM,ROM,Expandable,Display_cm,Front_Camera_MP,Rear_Camera_MP,Battery_mAh,Processor,Warranty,Rating,Number_of_ratings,Reviews,Price_rs
42,0.0,LAVA,"LAVA Storm Lite 5G (Cosmic Titanium, 128 GB)",4.0,128.0,_,17.02,_,50,5000.0,_,1 Year Handset Warranty and 6 Months Warranty on Accessories,4.2,95.0,9.0,9599.0
43,0.0,REDMI,"REDMI 13C (Starfrost White, 128 GB)",6.0,128.0,1,17.12,8,50,5000.0,Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,26062.0,1029.0,9999.0
44,0.0,Samsung,"Samsung Galaxy A04 (Copper, 64 GB)",4.0,64.0,1,16.51,5,50,5000.0,Mediatek Helio P35 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,3.8,260.0,13.0,9800.0
45,0.0,Ai+,"Ai+ Nova 5G (Blue, 128 GB)",8.0,128.0,1,17.13,5,50,5000.0,T8200 Processor,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,3.9,3584.0,313.0,9499.0
46,0.0,REDMI,"REDMI 12 (Moonstone Silver, 128 GB)",4.0,128.0,1,17.25,8,50,5000.0,Helio G88 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.3,111509.0,5612.0,9499.0
47,0.0,realme,"realme C61 (Safari Green, 128 GB)",6.0,128.0,2,17.13,5,32,5000.0,T612 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,21870.0,790.0,8199.0
48,0.0,REDMI,"REDMI A3X (Ocean Green, 128 GB)",4.0,128.0,1,17.04,5,8,5000.0,_,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1,10328.0,429.0,8999.0
49,0.0,Samsung,"Samsung Galaxy A06 (Gold, 64 GB)",4.0,64.0,1,17.02,8,50,5000.0,Mediatek Helio G85 Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.1,448.0,24.0,9990.0
50,0.0,OPPO,"OPPO A18 (Glowing Blue, 64 GB)",4.0,64.0,_,16.66,5,8,5000.0,Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,1777.0,80.0,9687.0
51,0.0,Samsung,"Samsung Galaxy A06 (Light Blue, 64 GB)",4.0,64.0,1,17.02,8,50,5000.0,Mediatek Helio G85 Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.1,448.0,24.0,9999.0
